'Elapsed time','Direct_1'
0,28.8
0.001,26.7
0.002,24.8
0.003,23.8
0.004,23.6
0.005,23.7
0.006,23.7
0.007,23.7
0.008,23.8
0.009,24.4
0.01,25.4
0.011,26.5
0.012,27.4
0.013,27.9
0.014,28.3
0.015,28.6
0.016,28.9
0.017,28.9
0.018,28.5
0.019,27.8
0.02,27.6
0.021,28.4
0.022,30.4
0.023,32.901
0.024,34.701
0.025,35.001
0.026,33.901
0.027,32.2
0.028,31.5
0.029,32.801
0.03,35.901
0.031,39.901
0.032,43.301
0.033,45.101
0.034,45.401
0.035,45.001
0.036,44.801
0.037,45.301
0.038,46.201
0.039,46.601
0.04,46.001
0.041,44.801
0.042,43.901
0.043,44.201
0.044,46.201
0.045,48.901
0.046,50.701
0.047,50.101
0.048,46.901
0.049,42.301
0.05,38.501
0.051,37.101
0.052,38.401
0.053,41.401
0.054,44.201
0.055,45.301
0.056,44.301
0.057,41.901
0.058,39.401
0.059,37.701
0.06,37.101
0.061,37.301
0.062,38.001
0.063,38.901
0.064,40.001
0.065,40.701
0.066,40.401
0.067,38.601
0.068,35.601
0.069,32.3
0.07,30.1
0.071,30.1
0.072,32
0.073,34.701
0.074,36.401
0.075,36.201
0.076,34.101
0.077,31.4
0.078,29.6
0.079,29.9
0.08,32.3
0.081,35.901
0.082,39.301
0.083,41.401
0.084,41.501
0.085,39.801
0.086,37.101
0.087,34.401
0.088,32.6
0.089,32.3
0.09,33.501
0.091,35.501
0.092,37.201
0.093,38.001
0.094,37.501
0.095,36.301
0.096,35.201
0.097,34.801
0.098,35.301
0.099,36.101
0.1,36.401
0.101,35.601
0.102,33.901
0.103,32.1
0.104,31.4
0.105,32.2
0.106,34.201
0.107,36.001
0.108,36.701
0.109,35.501
0.11,33.101
0.111,30.4
0.112,28.8
0.113,28.8
0.114,30.7
0.115,33.801
0.116,37.301
0.117,40.401
0.118,42.101
0.119,41.801
0.12,39.301
0.121,35.301
0.122,31.1
0.123,28.2
0.124,27.4
0.125,28.4
0.126,30.2
0.127,31.4
0.128,31.6
0.129,31.1
0.13,31.2
0.131,32.801
0.132,35.801
0.133,39.101
0.134,41.301
0.135,41.701
0.136,40.701
0.137,39.301
0.138,38.801
0.139,39.301
0.14,40.101
0.141,40.001
0.142,38.001
0.143,34.601
0.144,30.9
0.145,28.8
0.146,29.4
0.147,32.6
0.148,37.001
0.149,40.501
0.15,41.701
0.151,40.301
0.152,37.401
0.153,34.801
0.154,34.001
0.155,35.401
0.156,38.101
0.157,41.001
0.158,42.701
0.159,42.801
0.16,41.601
0.161,39.601
0.162,37.501
0.163,35.801
0.164,34.901
0.165,34.801
0.166,35.801
0.167,37.801
0.168,40.401
0.169,43.501
0.17,46.601
0.171,49.801
0.172,53.601
0.173,58.301
0.174,64.401
0.175,72.001
0.176,80.801
0.177,90.501
0.178,100.302
0.179,109.502
0.18,116.902
0.181,121.402
0.182,122.202
0.183,119.102
0.184,112.502
0.185,103.502
0.186,93.201
0.187,82.201
0.188,70.601
0.189,57.701
0.19,43.501
0.191,28.2
0.192,13.2
0.193,0.3
0.194,-8.5
0.195,-12.6
0.196,-12.1
0.197,-8.7
0.198,-4.4
0.199,-0.9
0.2,1.5
0.201,3.3
0.202,6
0.203,10.6
0.204,17.1
0.205,24.3
0.206,30.6
0.207,34.401
0.208,35.501
0.209,34.901
0.21,34.201
0.211,34.801
0.212,36.601
0.213,38.801
0.214,39.901
0.215,39.001
