'Elapsed time','Abdomen_2'
0,13.4
0.001,12.7
0.002,12.1
0.003,11.5
0.004,10.5
0.005,8.7
0.006,6.1
0.007,2.9
0.008,-0.3
0.009,-3.2
0.01,-5.3
0.011,-6.4
0.012,-6.7
0.013,-6.2
0.014,-5.5
0.015,-4.7
0.016,-4.2
0.017,-4
0.018,-3.8
0.019,-3.6
0.02,-3.3
0.021,-3
0.022,-3.1
0.023,-3.8
0.024,-5
0.025,-6.4
0.026,-7.7
0.027,-8.4
0.028,-8.8
0.029,-8.8
0.03,-8.6
0.031,-8.5
0.032,-8.4
0.033,-8.3
0.034,-8.3
0.035,-8.6
0.036,-9.6
0.037,-11.4
0.038,-13.6
0.039,-15.8
0.04,-17.4
0.041,-18
0.042,-17.8
0.043,-17
0.044,-16.2
0.045,-15.8
0.046,-15.7
0.047,-15.7
0.048,-15.7
0.049,-15.5
0.05,-15.1
0.051,-14.6
0.052,-14.2
0.053,-13.7
0.054,-12.9
0.055,-11.8
0.056,-10.4
0.057,-9.1
0.058,-8.3
0.059,-8.2
0.06,-8.7
0.061,-9.4
0.062,-9.8
0.063,-9.6
0.064,-8.8
0.065,-8
0.066,-7.5
0.067,-7.6
0.068,-8.2
0.069,-8.7
0.07,-8.7
0.071,-8
0.072,-6.8
0.073,-5.5
0.074,-4.4
0.075,-3.8
0.076,-3.4
0.077,-3.2
0.078,-2.9
0.079,-2.8
0.08,-3
0.081,-3.7
0.082,-4.6
0.083,-5.5
0.084,-5.8
0.085,-5.6
0.086,-4.9
0.087,-4.2
0.088,-3.7
0.089,-3.5
0.09,-3.5
0.091,-3.6
0.092,-3.8
0.093,-4.1
0.094,-4.5
0.095,-5
0.096,-5.2
0.097,-4.8
0.098,-3.9
0.099,-2.8
0.1,-2.1
0.101,-2.1
0.102,-2.9
0.103,-4
0.104,-5
0.105,-5.4
0.106,-5.4
0.107,-5.2
0.108,-5.4
0.109,-6.1
0.11,-7
0.111,-7.9
0.112,-8.4
0.113,-8.3
0.114,-7.7
0.115,-6.9
0.116,-6
0.117,-5.3
0.118,-4.7
0.119,-4.2
0.12,-3.7
0.121,-3.1
0.122,-2.4
0.123,-1.6
0.124,-0.7
0.125,0.1
0.126,0.6
0.127,0.4
0.128,-0.3
0.129,-1.2
0.13,-2
0.131,-2.3
0.132,-2.1
0.133,-1.7
0.134,-1.5
0.135,-1.8
0.136,-2.7
0.137,-4
0.138,-5.2
0.139,-6.2
0.14,-6.9
0.141,-7.3
0.142,-7.6
0.143,-7.9
0.144,-8.1
0.145,-8.3
0.146,-8.4
0.147,-8.4
0.148,-8.4
0.149,-8.3
0.15,-8.2
0.151,-7.9
0.152,-7.5
0.153,-7.3
0.154,-7.2
0.155,-7.3
0.156,-7.6
0.157,-7.8
0.158,-7.9
0.159,-8
0.16,-8.3
0.161,-9.1
0.162,-10.4
0.163,-12
0.164,-13.3
0.165,-13.9
0.166,-13.4
0.167,-12.2
0.168,-10.6
0.169,-9
0.17,-7.7
0.171,-6.5
0.172,-5
0.173,-3
0.174,-0.2
0.175,3.2
0.176,6.9
0.177,10.6
0.178,13.8
0.179,16.1
0.18,17.2
0.181,16.7
0.182,15
0.183,12.3
0.184,9.5
0.185,6.8
0.186,4.5
0.187,2
0.188,-1.2
0.189,-5.4
0.19,-10.5
0.191,-15.4
0.192,-19.2
0.193,-21.1
0.194,-21
0.195,-19.3
0.196,-17
0.197,-14.9
0.198,-13.5
0.199,-12.6
0.2,-12
0.201,-11.1
0.202,-10
0.203,-8.6
0.204,-7.3
0.205,-6.4
0.206,-5.9
0.207,-5.7
0.208,-5.4
0.209,-4.8
0.21,-3.8
0.211,-2.6
0.212,-1.9
0.213,-1.8
0.214,-2.5
0.215,-3.7
0.216,-4.8
0.217,-5.4
0.218,-5.4
0.219,-4.9
0.22,-4.3
0.221,-4.2
0.222,-4.4
0.223,-4.7
0.224,-4.7
0.225,-4.2
0.226,-3.1
0.227,-1.8
0.228,-0.6
0.229,0.3
0.23,0.8
0.231,0.9
0.232,0.7
0.233,0.4
0.234,0
0.235,-0.6
0.236,-1.2
0.237,-1.8
0.238,-2.6
0.239,-3.4
0.24,-4.1
0.241,-4.7
0.242,-5
0.243,-5.1
0.244,-5
0.245,-4.8
0.246,-4.5
0.247,-4.2
0.248,-3.8
0.249,-3.5
0.25,-3.1
0.251,-3
0.252,-3
0.253,-2.9
0.254,-2.7
0.255,-2.3
0.256,-1.7
0.257,-1.2
0.258,-1.1
0.259,-1.4
0.26,-2
0.261,-2.3
0.262,-2.1
0.263,-1.3
0.264,-0.2
0.265,1
0.266,1.7
0.267,1.9
0.268,1.6
0.269,1.2
0.27,0.8
0.271,0.6
0.272,0.4
0.273,0.2
0.274,-0.2
0.275,-0.7
0.276,-1
0.277,-0.9
0.278,-0.4
0.279,0.4
0.28,1
0.281,1.1
0.282,0.6
0.283,-0.3
0.284,-1.2
0.285,-1.8
0.286,-1.9
0.287,-1.7
0.288,-1.4
0.289,-1.5
0.29,-1.9
0.291,-2.3
0.292,-2.5
0.293,-2.6
0.294,-2.5
0.295,-2.7
0.296,-3.1
0.297,-3.7
0.298,-4.2
0.299,-4.4
0.3,-4.3
0.301,-3.9
0.302,-3.6
0.303,-3.5
0.304,-3.4
0.305,-3.3
0.306,-3
0.307,-2.5
0.308,-2.1
0.309,-2.1
0.31,-2.4
0.311,-3
0.312,-3.6
0.313,-3.6
0.314,-3
0.315,-1.9
0.316,-0.9
0.317,-0.3
0.318,-0.3
0.319,-0.9
0.32,-1.6
0.321,-2
0.322,-2
0.323,-1.6
0.324,-1.1
0.325,-0.7
0.326,-0.6
0.327,-0.6
0.328,-0.6
0.329,-0.6
0.33,-0.5
0.331,-0.4
0.332,-0.3
0.333,0.1
0.334,0.6
0.335,1.5
0.336,2.4
0.337,3.2
0.338,3.7
0.339,3.8
0.34,3.5
0.341,2.8
0.342,1.6
0.343,-0.3
0.344,-2.7
0.345,-5.2
0.346,-7.3
0.347,-8.4
0.348,-8.4
0.349,-7.5
0.35,-6.4
0.351,-5.9
0.352,-6.3
0.353,-7.5
0.354,-9.1
0.355,-10.7
0.356,-11.8
0.357,-12.5
0.358,-12.8
0.359,-13
0.36,-12.9
0.361,-12.8
0.362,-12.4
0.363,-11.8
0.364,-11.1
0.365,-10.5
0.366,-9.9
0.367,-9.4
0.368,-8.8
0.369,-8.2
0.37,-7.8
0.371,-7.9
0.372,-8.4
0.373,-9.4
0.374,-10.4
0.375,-11.3
0.376,-11.7
0.377,-11.7
0.378,-11.4
0.379,-10.8
0.38,-9.8
0.381,-8.6
0.382,-7.1
0.383,-5.7
0.384,-4.9
0.385,-5
0.386,-5.8
0.387,-7
0.388,-8.1
0.389,-8.7
0.39,-8.8
0.391,-8.5
0.392,-8.2
0.393,-7.7
0.394,-7
0.395,-6.2
0.396,-5.2
0.397,-4.4
0.398,-4
0.399,-4.1
0.4,-4.4
0.401,-4.4
0.402,-4.1
0.403,-3.5
0.404,-2.9
0.405,-2.7
0.406,-3.4
0.407,-4.7
0.408,-6.6
0.409,-8.4
0.41,-9.6
0.411,-10
0.412,-9.7
0.413,-9
0.414,-8.4
0.415,-8.3
0.416,-9
0.417,-10
0.418,-10.9
0.419,-11.3
0.42,-10.8
0.421,-9.6
0.422,-8.2
0.423,-7.4
0.424,-7.5
0.425,-8.5
0.426,-10
0.427,-11.3
0.428,-11.7
0.429,-11
0.43,-9.7
0.431,-8.1
0.432,-7.1
0.433,-6.8
0.434,-7.1
0.435,-7.4
0.436,-7.5
0.437,-7
0.438,-6.1
0.439,-5.1
0.44,-4.4
0.441,-4.1
0.442,-4.3
0.443,-4.6
0.444,-4.9
0.445,-4.9
0.446,-4.5
0.447,-3.8
0.448,-3
0.449,-2.5
0.45,-2.2
0.451,-2.4
0.452,-2.7
0.453,-3
0.454,-3
0.455,-2.7
0.456,-2.4
0.457,-2.2
0.458,-2.3
0.459,-2.7
0.46,-2.8
0.461,-2.4
0.462,-1.2
0.463,0.4
0.464,1.8
0.465,2.3
0.466,1.7
0.467,0
0.468,-2.2
0.469,-4.3
0.47,-6
0.471,-7.1
0.472,-7.8
0.473,-8.5
0.474,-9.2
0.475,-9.9
0.476,-10.3
0.477,-10.5
0.478,-10.2
0.479,-9.6
0.48,-8.8
0.481,-7.8
0.482,-6.9
0.483,-6
0.484,-5.5
0.485,-5.1
0.486,-4.9
0.487,-4.8
0.488,-4.6
0.489,-4.5
0.49,-4.4
0.491,-4.5
0.492,-4.7
0.493,-4.9
0.494,-4.9
0.495,-4.6
0.496,-4
0.497,-3.2
0.498,-2.4
0.499,-1.8
0.5,-1.4
0.501,-1.2
0.502,-1
0.503,-1
0.504,-1
0.505,-1.2
0.506,-1.7
0.507,-2.2
0.508,-2.6
0.509,-2.6
0.51,-2.3
0.511,-1.8
0.512,-1.4
0.513,-1.4
0.514,-1.8
0.515,-2.2
0.516,-2.2
0.517,-1.7
0.518,-0.6
0.519,0.6
0.52,1.1
0.521,0.8
0.522,-0.6
0.523,-2.3
0.524,-3.7
0.525,-4.2
0.526,-3.9
0.527,-3
0.528,-2.4
0.529,-2.5
0.53,-3.3
0.531,-4.4
0.532,-5.2
0.533,-5.5
0.534,-5.3
0.535,-5.1
0.536,-5.5
0.537,-6.3
0.538,-7.4
0.539,-7.9
0.54,-7.4
0.541,-5.8
0.542,-3.6
0.543,-1.3
0.544,0.5
0.545,1.4
0.546,1.5
0.547,1.2
0.548,0.9
0.549,1
0.55,1.3
0.551,1.7
0.552,1.8
0.553,1.5
0.554,1
0.555,0.4
0.556,0.1
0.557,0.1
0.558,0.3
0.559,0.2
0.56,-0.4
0.561,-1.4
0.562,-2.8
